51.51653N,0.3208288W,35.59,20:28.30
51.51647N,0.321614W,33.56,20:28.40
51.51641N,0.3219077W,33.56,20:28.53
51.51639N,0.3219805W,36.45,20:28.54
51.51632N,0.3224273W,36.75,20:29.13
51.51631N,0.3224837W,37.81,20:29.14
51.5163N,0.3225527W,37.84,20:29.15
51.51628N,0.3226312W,37.74,20:29.16
51.51627N,0.3227163W,37.77,20:29.17
51.51627N,0.3228028W,38.05,20:29.18
51.51625N,0.3228925W,38.39,20:29.19
51.51622N,0.3230828W,38.69,20:29.21
51.51618N,0.3232737W,38.69,20:29.23
51.51616N,0.3233703W,39.25,20:29.24
51.51615N,0.3234668W,39.35,20:29.25
51.51614N,0.3235672W,39.19,20:29.26
51.51614N,0.3236652W,38.92,20:29.27
51.51614N,0.3237677W,38.57,20:29.28
51.51614N,0.3238705W,38.44,20:29.29
51.51614N,0.3239748W,38.56,20:29.30
51.51614N,0.3240792W,38.53,20:29.31
51.51615N,0.3241842W,38.29,20:29.32
51.51616N,0.324288W,38.03,20:29.33
51.51616N,0.3243978W,37.75,20:29.34
51.5162N,0.3250332W,37.33,20:29.40
51.51621N,0.3251293W,35.41,20:29.41
51.51623N,0.3254355W,35.3,20:29.45
51.51623N,0.3254732W,35.2,20:29.46
51.51624N,0.325499W,35.37,20:29.47
51.51624N,0.3255168W,35.29,20:29.48
51.51625N,0.3255325W,35.65,20:29.49
51.51627N,0.3255483W,35.77,20:29.50
51.5163N,0.3255587W,35.88,20:29.51
51.51634N,0.3255645W,35.74,20:29.52
51.51638N,0.3255552W,35.2,20:29.53
51.51641N,0.325539W,35.38,20:29.54
51.51646N,0.3255124W,35.53,20:29.55
51.51655N,0.3254589W,35.86,20:29.57
51.51659N,0.3254373W,35.97,20:29.58
51.51663N,0.325422W,36.11,20:29.59
51.51666N,0.3254135W,36.29,20:30.00
51.51669N,0.3254145W,36.6,20:30.01
51.51671N,0.325422W,37.03,20:30.02
51.51672N,0.3254293W,37.55,20:30.03
51.51672N,0.3254293W,37.57,20:30.04
51.51672N,0.3254293W,37.57,20:30.07
51.51672N,0.3254293W,37.57,20:30.10
51.51672N,0.3254293W,37.57,20:30.11
51.51672N,0.3254293W,37.57,20:30.12
51.51676N,0.3255672W,37.57,20:30.15
51.51677N,0.3256308W,37.05,20:30.16
51.51676N,0.3256962W,37.35,20:30.17
51.51672N,0.325966W,37.68,20:30.20
51.51665N,0.3263367W,38.52,20:30.24
51.51665N,0.3264287W,39.45,20:30.25
51.51664N,0.3265187W,39.02,20:30.26
51.51664N,0.326608W,38.84,20:30.27
51.51665N,0.3266957W,38.84,20:30.28
51.51666N,0.3269587W,38.11,20:30.31
51.51667N,0.3270372W,37.37,20:30.32
51.51668N,0.3271068W,37.37,20:30.33
51.51669N,0.3271683W,36.8,20:30.34
51.51671N,0.3272388W,36.8,20:30.36
51.51671N,0.3272388W,36.8,20:30.39
51.51671N,0.3272388W,36.01,20:30.40
51.51671N,0.3272388W,36.01,20:30.41
51.51671N,0.3272388W,36.01,20:30.42
51.51671N,0.3272388W,36.01,20:30.43
51.51671N,0.3272388W,36.01,20:30.46
51.51671N,0.3272388W,36.01,20:30.49
51.51671N,0.3272388W,36.01,20:30.50
51.51672N,0.3272805W,36.01,20:30.51
51.51673N,0.3273507W,36.1,20:30.52
51.51674N,0.3274218W,35.59,20:30.53
51.51677N,0.3275118W,34.87,20:30.54
51.51679N,0.3276193W,34.2,20:30.55
51.51682N,0.327735W,33.63,20:30.56
51.51685N,0.327852W,33.23,20:30.57
51.51688N,0.327987W,33.14,20:30.58
51.5169N,0.3281205W,32.86,20:30.59
51.51692N,0.3282638W,32.7,20:31.00
51.51693N,0.3284115W,32.52,20:31.01
51.51694N,0.3285668W,32.51,20:31.02
51.51693N,0.328732W,32.86,20:31.03
51.51691N,0.3289052W,33.83,20:31.04
51.51689N,0.3290893W,34.91,20:31.05
51.51685N,0.3292823W,36.32,20:31.06
51.51682N,0.3294703W,37.39,20:31.07
51.5168N,0.3296565W,38.66,20:31.08
51.51677N,0.3298468W,39.63,20:31.09
51.51675N,0.330039W,40.71,20:31.10
51.51673N,0.3302203W,41.96,20:31.11
51.51665N,0.3307075W,43.22,20:31.15
51.51664N,0.3307562W,40.78,20:31.16
51.51661N,0.3308116W,39.55,20:31.17
51.51657N,0.3308562W,38.34,20:31.18
51.51652N,0.330909W,35.44,20:31.19
51.51646N,0.3309235W,32.47,20:31.20
51.5164N,0.3309145W,28.6,20:31.21
51.51633N,0.3309158W,24.7,20:31.22
51.51627N,0.3309207W,25.67,20:31.23
51.51615N,0.3309697W,26.46,20:31.25
51.51609N,0.3310046W,28.14,20:31.26
51.51605N,0.3310577W,28.98,20:31.27
51.516N,0.3311775W,29.32,20:31.29
51.51599N,0.3312354W,29.19,20:31.30
51.51598N,0.3313005W,30.09,20:31.31
51.51596N,0.3314563W,30.15,20:31.33
51.51595N,0.3316358W,31.46,20:31.35
51.51593N,0.3318188W,31.86,20:31.37
51.5159N,0.3320012W,32.5,20:31.39
51.51588N,0.3320825W,32.0,20:31.40
51.51587N,0.3321627W,31.73,20:31.41
51.51585N,0.3322255W,31.98,20:31.42
51.51583N,0.3323965W,32.62,20:31.55
51.51583N,0.3324493W,32.62,20:32.03
51.51582N,0.3325147W,33.67,20:32.04
51.51582N,0.3325985W,33.94,20:32.05
51.51581N,0.3326922W,34.08,20:32.06
51.5158N,0.3327893W,34.05,20:32.07
51.51576N,0.3329992W,34.63,20:32.09
51.51572N,0.3332248W,34.7,20:32.11
51.51571N,0.333334W,34.2,20:32.12
51.51567N,0.3335538W,33.49,20:32.14
51.51566N,0.3336627W,33.04,20:32.15
51.51564N,0.3337702W,32.91,20:32.16
51.5156N,0.333976W,32.71,20:32.18
51.51557N,0.3341895W,32.46,20:32.20
51.51554N,0.3344148W,32.28,20:32.22
51.5155N,0.3346462W,32.22,20:32.24
51.51547N,0.3348733W,31.64,20:32.26
51.51543N,0.335102W,31.27,20:32.28
51.5154N,0.3353281W,30.69,20:32.30
51.51537N,0.3355502W,30.41,20:32.32
51.51534N,0.335772W,30.62,20:32.34
51.51532N,0.3358813W,30.97,20:32.35
51.51527N,0.3361993W,30.98,20:32.38
51.51525N,0.3363047W,31.11,20:32.39
51.51524N,0.3364053W,31.19,20:32.40
51.51523N,0.3365011W,31.31,20:32.41
51.51521N,0.3365922W,31.49,20:32.42
51.5152N,0.3366758W,31.52,20:32.43
51.51519N,0.3367517W,31.61,20:32.44
51.51514N,0.3369268W,31.7,20:32.47
51.51514N,0.3369508W,31.84,20:32.48
51.51514N,0.3369508W,31.66,20:32.49
51.51514N,0.3369508W,31.66,20:32.50
51.51514N,0.3369508W,31.66,20:32.52
51.51514N,0.3369508W,31.66,20:32.54
51.51514N,0.3369508W,31.66,20:32.56
51.51514N,0.3370108W,31.66,20:32.58
51.51514N,0.3370757W,31.7,20:32.59
51.51513N,0.3371388W,31.43,20:33.00
51.51512N,0.3373148W,31.61,20:33.03
51.51513N,0.3373602W,32.1,20:33.04
51.51522N,0.3374248W,32.44,20:33.07
51.51525N,0.337436W,32.53,20:33.08
51.5153N,0.3374447W,32.61,20:33.09
51.51536N,0.3374517W,32.42,20:33.10
51.51542N,0.3374642W,31.64,20:33.11
51.51548N,0.3374812W,31.15,20:33.12
51.51567N,0.3375516W,31.34,20:33.16
51.51576N,0.3375785W,31.19,20:33.20
